! ------------------------------------------------------------- !
! Met Data from Falling Creek Reservoir                         !
! Test ELCOM                                                    !
! 2015 - Mar 2024                                               !
7 data sets
0 seconds between data
0	0	0	0	0	0	0	0
! ------       -------     -------- ------ ------
TIME	AIR_TEMP	WIND_SPEED	WIND_DIR	SOLAR_RAD	LW_RAD_IN	REL_HUM	RAIN
2015004.2083	-3.27	3.18	148.79	0	221.76	0.716	0
2015004.2500	-3.5	2.71	160.8	0	222.26	0.7199	0
2015004.2917	-4.32	1.81	150.97	0	223.12	0.8273	0
2015004.3333	-4.4	1.53	140.87	0	221.54	0.7987	0
2015004.3750	-4.6	2.41	188.01	0	221.91	0.8283	0
2015004.4167	-4.37	2.77	130.81	0	222.74	0.7898	0
2015004.4583	-4.49	1.95	171.96	0	223.6	0.8296	0
2015004.5000	-5.58	1.76	258.98	1.12	224.21	0.9305	0
2015004.5417	-5.77	1.29	169.11	20.6	222.49	0.9402	0
2015004.5833	-3.6	0.91	156.61	173.45	223.16	0.7504	0.006
2015004.6250	-1.14	1.63	201.25	451.68	235.02	0.6146	0
2015004.6667	-0.55	2.89	172.8	550.27	242.71	0.5905	0
2015004.7083	0.71	2.81	178.82	586.48	243.21	0.5337	0.01224
2015004.7500	1.49	2.85	190.14	555.68	246.25	0.5221	0.006
2015004.7917	2.24	2.52	196.7	462.37	244.7	0.4944	0.01224
2015004.8333	2.03	2.16	212.59	175.07	245.07	0.4616	0
2015004.8750	1.28	1.7	221.21	19.67	241.41	0.4868	0
2015004.9167	0.42	1.93	217.26	1.17	236.86	0.5381	0.006
2015004.9583	-0.58	1.46	208.66	0	235.42	0.6161	0
2015005.0000	-0.77	2.23	197.2	0	232.92	0.6378	0
2015005.0417	-1.16	1.66	199.46	0	233.62	0.675	0
2015005.0833	-1.3	1.59	200.8	0	233.81	0.677	0
2015005.1250	-2.13	0.74	160.52	0	234.43	0.7359	0
2015005.1667	-1.98	1.29	220.12	0	235.04	0.7236	0
2015005.2083	-2.2	1.02	201.99	0	257	0.754	0
2015005.2500	-1.67	1.81	219.28	0	272.76	0.7374	0
2015005.2917	-1.84	1.59	219.45	0	273.41	0.7408	0
2015005.3333	-1.65	1.87	201.99	0	264.01	0.7513	0
2015005.3750	-1.44	0.97	217.68	0	259.96	0.7406	0
2015005.4167	-1.8	0.46	193.35	0	269.02	0.8022	0
2015005.4583	-1.92	0.61	91.49	0	276.12	0.85	0
2015005.5000	-1.83	0.95	158.77	2.19	267.88	0.8836	0
2015005.5417	-1.54	1.18	165.57	48.37	279.83	0.8939	0
2015005.5833	0.01	1.59	216.98	104.65	292.03	0.8412	0
2015005.6250	2.05	0.81	223.54	173.34	299.13	0.7904	0
2015005.6667	4.19	0.59	193.84	241.65	296.38	0.695	0.02448
2015005.7083	4.92	1.22	138.98	233.67	304.26	0.7197	0.02448
2015005.7500	6.17	1.22	113.85	192.19	308.51	0.6166	0.01224
2015005.7917	6.41	1.58	107.57	151.23	313.03	0.5849	0
2015005.8333	5.8	0.89	173.61	107.41	301.6	0.6503	0
2015005.8750	6.39	1.26	130.9	52.39	305.84	0.6003	0
2015005.9167	3.66	1.39	185.31	3.39	290.73	0.8052	0
2015005.9583	6.53	3.1	100.55	0.14	275.74	0.6093	0
2015006.0000	7.82	3.53	81.08	0	283.82	0.5336	0
2015006.0417	7.91	2.8	95.65	0	292.54	0.5369	0
2015006.0833	7.51	3.24	82.95	0	299.08	0.5775	0
2015006.1250	7.53	3.04	86.26	0	300.8	0.5595	0
2015006.1667	7.54	2.99	78.88	0	299.3	0.537	0
2015006.2083	7.23	3.44	77.87	0	295.28	0.5006	0
2015006.2500	6.89	3.21	94	0	293.15	0.4929	0
2015006.2917	6.59	2.45	116.51	0	286.4	0.4739	0
2015006.3333	6.36	3.03	142.31	0	273.66	0.4158	0
2015006.3750	5.87	3.81	81.85	0	263.88	0.4346	0
2015006.4167	5.51	2.6	115.28	0	271.28	0.4387	0
2015006.4583	4.88	2.04	151.45	0	269.44	0.4479	0
2015006.5000	4.23	1.42	169.58	0.72	262.61	0.423	0
2015006.5417	3.74	1.32	112.28	22.56	252.04	0.4116	0
2015006.5833	4.04	2.13	87.01	178.62	259.94	0.456	0
2015006.6250	4.69	3.77	180.03	351.07	275.38	0.4028	0
2015006.6667	6.02	2.35	186.71	588.72	276.11	0.3139	0
2015006.7083	6.53	2.09	199.39	415.18	307.84	0.3055	0
2015006.7500	6.7	0.91	141.3	172.42	321.11	0.2876	0
2015006.7917	7.07	0.65	168.98	112.84	324.58	0.2991	0
2015006.8333	6.25	0.65	177.48	40.24	330.72	0.4615	0
2015006.8750	5.72	0.78	185.03	22.79	326.01	0.4406	0
2015006.9167	5.15	1.3	183.05	0.36	333.01	0.4808	0
2015006.9583	5.74	0.88	189.7	0	327.91	0.3463	0
2015007.0000	5.06	0.96	168.83	0	330.73	0.4335	0
2015007.0417	3.79	1.22	180.3	0	334.38	0.6128	0
2015007.0833	2.73	1.9	154.3	0	336.84	0.7487	0
2015007.1250	0.49	3.73	254.02	0	331.9	0.9948	0
2015007.1667	-0.27	4.56	149.59	0	327.13	0.9956	0
2015007.2083	-1.32	4.19	155.91	0	322.26	0.8573	0
