! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         1        1            1
TIME	INFLOW	WTR_TEMP	SALINITY
2015184.1250	0.0257	21.19	0
2015184.1667	0.0262	21.175	0
2015184.2083	0.0259	21.22	0
2015184.2500	0.0259	21.265	0
2015184.2917	0.0259	21.31	0
2015184.3333	0.0262	21.28	0
2015184.3750	0.026	21.22	0
2015184.4167	0.0259	21.16	0
2015184.4583	0.0257	21.1125	0
2015184.5000	0.0257	21.06	0
2015184.5417	0.0258	21.06	0
2015184.5833	0.0256	21	0
2015184.6250	0.0262	20.955	0
2015184.6667	0.0258	20.895	0
2015184.7083	0.0256	20.925	0
2015184.7500	0.0259	21	0
2015184.7917	0.0262	21.095	0
2015184.8333	0.0266	21.13	0
2015184.8750	0.0268	21.095	0
2015184.9167	0.0274	21.095	0
2015184.9583	0.0267	21.015	0
2015185.0000	0.0264	21	0
2015185.0417	0.0262	20.985	0
2015185.0833	0.0262	20.94	0
2015185.1250	0.0267	20.91	0
2015185.1667	0.0276	20.88	0
2015185.2083	0.0281	20.8275	0
2015185.2500	0.0273	20.81	0
2015185.2917	0.0276	20.81	0
2015185.3333	0.0269	20.81	0
2015185.3750	0.0271	20.81	0
2015185.4167	0.0279	20.78	0
2015185.4583	0.0278	20.795	0
